"Date","Lighthouse Speed Index","Time To Interact","GT Fully Loaded Time","Total Page Size","Requests","Pages Image Score","URL","Total Images Analyzed","Total Images Weight","Start Render","Speed Index","Doc Completed Time","Doc Completed kBytes","Fully Loaded Time","Fully Loaded kBytes"
"2018-09-27T00:14:29.277Z","3.2 s","5.7 s",3.101,1822.844,65,"","","","",1.7,1973,3.925,1358.823,7.009,1682.91
"2018-09-28T17:21:50.755Z","3.2 s","5.7 s",3.083,1821.964,65,"","","","",1.5,1812,1.907,775.442,4.527,1679.875
"2018-09-28T17:46:24.356Z","3.2 s","5.7 s",3.391,1821.962,65,"","","","",1.5,1722,3.752,1357.942,6.813,1682.03
"2018-09-28T17:57:23.224Z","3.2 s","5.7 s",3.12,1821.967,65,"","","","",1.7,1933,2.016,776.87,4.61,1679.882
"2018-09-28T18:08:46.773Z","3.2 s","5.7 s",3.7,1821.963,65,"","","","",1.7,1923,2.052,776.87,4.557,1679.854
2018-09-28T18:37:06.647Z,3.2 s,5.7 s,4.007,1821.965,65,,,,,1.5,1700,3.771,1357.961,6.851,1682.049
2018-09-28T19:47:06.738Z,3.2 s,5.7 s,3.342,1821.965,65,,,,,3,3361,5.443,1357.978,9.03,1682.067
2018-09-28T19:49:02.773Z,3.2 s,5.7 s,2.766,1821.964,65,,,,,1.5,1776,3.734,1357.951,6.843,1682.039
2018-09-28T19:52:20.076Z,3.2 s,5.7 s,2.899,1821.99,65,,,,,1.7,1939,2.145,776.889,4.571,1679.875
2018-09-28T19:55:37.232Z,3.2 s,5.7 s,3.045,1821.963,65,,,,,1.5,1728,3.835,1357.96,6.908,1682.205
2018-09-28T19:57:15.826Z,3.2 s,5.7 s,2.842,1821.964,65,,,,,1.5,1699,3.704,1357.971,6.932,1682.059
2018-09-28T20:26:05.574Z,5.1 s,9.8 s,3.516,1821.964,65,,,,,1.8,2074,4.018,1357.951,7.153,1682.059
2018-09-28T20:30:10.087Z,4.1 s,9.8 s,3.403,1821.964,65,,,,,1.7,1902,3.981,1357.951,7.13,1682.059
2018-09-28T20:32:15.731Z,4.1 s,10.1 s,3.475,1821.964,65,,,,,1.5,1712,3.844,1357.951,6.947,1682.056